"CommandLine\Decrypter\Strings\Program.da-DK.resx","ProgramUsage","updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>","Anvendelse: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>"
"CommandLine\Strings\Program.da-DK.resx","AddedFoldersHeader","updated","Added folders","Tilføjede mapper"
"CommandLine\Strings\Program.da-DK.resx","CollectionStatusHeader","updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","Fandt {0} backup kæder på destinationen

Type\tTime\t\t\tVolumes\tSize"
"CommandLine\Strings\Program.da-DK.resx","CollectionStatusLineFull","updated","Full\t{0}\t{1}\t{2}","Fuld\t{0}\t{1}\t{2}"
"CommandLine\Strings\Program.da-DK.resx","CollectionStatusLineInc","updated"," Inc\t{0}\t{1}\t{2}"," Trin\t{0}\t{1}\t{2}"
"CommandLine\Strings\Program.da-DK.resx","ControlFilesHeader","updated","Control files","Kontrol filer"
"CommandLine\Strings\Program.da-DK.resx","DeletedFilesHeader","updated","Deleted files","Slettede filer"
"CommandLine\Strings\Program.da-DK.resx","DeletedFoldersHeader","updated","Deleted folders","Slettede mapper"
"CommandLine\Strings\Program.da-DK.resx","DuplicatiOptionsHeader","updated","Duplicati options:","Duplicati indstillinger:"
"CommandLine\Strings\Program.da-DK.resx","FailedToParseParametersFileError","not-updated","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.da-DK.resx","FileEntryNotFound","updated","< not found >","< ikke fundet >"
"CommandLine\Strings\Program.da-DK.resx","FiltersCannotBeUsedWithFileError","not-updated","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.da-DK.resx","FindLastVersionHeader","updated","Backuptime\t\tFilename","Backuptid\t\tFilnavn"
"CommandLine\Strings\Program.da-DK.resx","FolderCreatedMessage","updated","The folder {0} was created","Mappen {0} blev oprettet"
"CommandLine\Strings\Program.da-DK.resx","GenericModulesHeader","updated","Supported generic modules:","Understøttede generiske moduler:"
"CommandLine\Strings\Program.da-DK.resx","IntegerParseError","updated","Unable to parse ""{0}"" into a number","Kan ikke omdanne ""{0}"" til et tal"
"CommandLine\Strings\Program.da-DK.resx","InternalOptionUsedError","updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline","Indstillingen --{0} var givet, men denne indstilling er reserveret til intern brug, og må ikke angives på kommandolinien"
"CommandLine\Strings\Program.da-DK.resx","MissingURISchemeError","not-updated","The source or target parameter must be a URL, try using ""{0}{1}""",""
"CommandLine\Strings\Program.da-DK.resx","ModifiedFilesHeader","updated","Modified files","Ændrede filer"
"CommandLine\Strings\Program.da-DK.resx","ModuleIsLoadedAutomatically","updated","Module is loaded atomatically, use --disable-module to prevent this","Modulet indlæses automatisk, brug --disable-module for at forhindre dette"
"CommandLine\Strings\Program.da-DK.resx","ModuleIsNotLoadedAutomatically","updated","Module is not loaded atomatically, use --enable-module to load it","Moduler bliver ikke automatisk indlæst, brug --enable-module for at indlæse det"
"CommandLine\Strings\Program.da-DK.resx","NewFilesHeader","updated","New files","Nye filer"
"CommandLine\Strings\Program.da-DK.resx","NewOrModifiedFilesHeader","updated","New/Modified files","Nye/ændrede filer"
"CommandLine\Strings\Program.da-DK.resx","ParametersFileOptionLong","not-updated","This option can be used to store some or all of the options given to the commandline client. The file must be a plain text file, UTF-8 encoding is preferred. Each line in the file should be of the format --option=value. The special options --source and --target can be used to override the localpath and the remote destination uri, respectively. The options in this file take precedence over the options provided on the commandline. You cannot specify filters in both the file and on the commandline.",""
"CommandLine\Strings\Program.da-DK.resx","ParametersFileOptionShort","not-updated","Path to a file with parameters",""
