"CommandLine\Decrypter\Strings\Program.es-ES.resx","ProgramUsage","not-updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>",""
"CommandLine\Strings\Program.es-ES.resx","AddedFoldersHeader","not-updated","Added folders",""
"CommandLine\Strings\Program.es-ES.resx","CollectionStatusHeader","not-updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize",""
"CommandLine\Strings\Program.es-ES.resx","CollectionStatusLineFull","not-updated","Full\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.es-ES.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.es-ES.resx","ControlFilesHeader","not-updated","Control files",""
"CommandLine\Strings\Program.es-ES.resx","DeletedFilesHeader","not-updated","Deleted files",""
"CommandLine\Strings\Program.es-ES.resx","DeletedFoldersHeader","not-updated","Deleted folders",""
"CommandLine\Strings\Program.es-ES.resx","DuplicatiOptionsHeader","not-updated","Duplicati options:",""
"CommandLine\Strings\Program.es-ES.resx","FileEntryNotFound","not-updated","< not found >",""
"CommandLine\Strings\Program.es-ES.resx","FindLastVersionEntry","not-updated","{0}\t{1}",""
"CommandLine\Strings\Program.es-ES.resx","FindLastVersionHeader","not-updated","Backuptime\t\tFilename",""
"CommandLine\Strings\Program.es-ES.resx","FolderCreatedMessage","not-updated","The folder {0} was created",""
"CommandLine\Strings\Program.es-ES.resx","GenericModulesHeader","not-updated","Supported generic modules:",""
"CommandLine\Strings\Program.es-ES.resx","IntegerParseError","not-updated","Unable to parse ""{0}"" into a number",""
"CommandLine\Strings\Program.es-ES.resx","InternalOptionUsedError","not-updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline",""
"CommandLine\Strings\Program.es-ES.resx","ModifiedFilesHeader","not-updated","Modified files",""
"CommandLine\Strings\Program.es-ES.resx","ModuleIsLoadedAutomatically","not-updated","Module is loaded atomatically, use --disable-module to prevent this",""
"CommandLine\Strings\Program.es-ES.resx","ModuleIsNotLoadedAutomatically","not-updated","Module is not loaded atomatically, use --enable-module to load it",""
"CommandLine\Strings\Program.es-ES.resx","NewFilesHeader","not-updated","New files",""
"CommandLine\Strings\Program.es-ES.resx","NewOrModifiedFilesHeader","not-updated","New/Modified files",""
