"CommandLine\Decrypter\Strings\Program.fr-FR.resx","ProgramUsage","updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>","Utilisation: Duplicati.LigneDeCommande.Decrypter.exe <mot de passe> <fichier d'entrée> <fichier de sortie>","102"
"CommandLine\Strings\Program.fr-FR.resx","AddedFoldersHeader","updated","Added folders","Répertoires ajoutés","719"
"CommandLine\Strings\Program.fr-FR.resx","CollectionStatusHeader","updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","Trouvé {0} chaines de sauvegardes dans le répertoire distant  Type\tTime\t\t\tVolumes\tSize","720"
"CommandLine\Strings\Program.fr-FR.resx","CollectionStatusLineFull","updated","Full\t{0}\t{1}\t{2}","Cplt\t{0}\t{1}\t{2}","74"
"CommandLine\Strings\Program.fr-FR.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}"," Inc\t{0}\t{1}\t{2}","75"
"CommandLine\Strings\Program.fr-FR.resx","ControlFilesHeader","updated","Control files","Fichiers de contrôle","721"
"CommandLine\Strings\Program.fr-FR.resx","DeletedFilesHeader","updated","Deleted files","Fichiers supprimés","722"
"CommandLine\Strings\Program.fr-FR.resx","DeletedFoldersHeader","updated","Deleted folders","Répertoires supprimés","723"
"CommandLine\Strings\Program.fr-FR.resx","DuplicatiOptionsHeader","updated","Duplicati options:","Options de Duplicati:","724"
"CommandLine\Strings\Program.fr-FR.resx","FileEntryNotFound","updated","< not found >","< non trouvé >","76"
"CommandLine\Strings\Program.fr-FR.resx","FindLastVersionEntry","not-updated","{0}\t{1}","{0}\t{1}","77"
"CommandLine\Strings\Program.fr-FR.resx","FindLastVersionHeader","updated","Backuptime\t\tFilename","Date de sauvegarde\t\tNom","78"
"CommandLine\Strings\Program.fr-FR.resx","FolderCreatedMessage","updated","The folder {0} was created","Le répertoire {0} a été créé","79"
"CommandLine\Strings\Program.fr-FR.resx","GenericModulesHeader","updated","Supported generic modules:","Modules standards supportés:","725"
"CommandLine\Strings\Program.fr-FR.resx","IntegerParseError","updated","Unable to parse ""{0}"" into a number","Impossible de convertir ""{0}"" en un nombre","726"
