"CommandLine\Decrypter\Strings\Program.pt-BR.resx","ProgramUsage","updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>","Uso: Duplicati.CommandLine.Decrypter.exe <senha> <arquivo-entrada> <arquivo-saida>"
"CommandLine\Strings\Program.pt-BR.resx","AddedFoldersHeader","updated","Added folders","Pastas adicionadas"
"CommandLine\Strings\Program.pt-BR.resx","CollectionStatusHeader","updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","Foram encontrados {0} backup no armazenamento

Tipo\tHora\t\t\tVolume\tTamanho"
"CommandLine\Strings\Program.pt-BR.resx","CollectionStatusLineFull","updated","Full\t{0}\t{1}\t{2}","Completo\t{0}\t{1}\t{2}"
"CommandLine\Strings\Program.pt-BR.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.pt-BR.resx","ControlFilesHeader","updated","Control files","Arquivos de controle"
"CommandLine\Strings\Program.pt-BR.resx","DeletedFilesHeader","updated","Deleted files","Arquivos removidos"
"CommandLine\Strings\Program.pt-BR.resx","DeletedFoldersHeader","updated","Deleted folders","Pastas removidas"
"CommandLine\Strings\Program.pt-BR.resx","DuplicatiOptionsHeader","updated","Duplicati options:","Opções do Duplicati:"
"CommandLine\Strings\Program.pt-BR.resx","FailedToParseParametersFileError","not-updated","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.pt-BR.resx","FileEntryNotFound","updated","< not found >","< não encontrado >"
"CommandLine\Strings\Program.pt-BR.resx","FiltersCannotBeUsedWithFileError","not-updated","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.pt-BR.resx","FindLastVersionEntry","not-updated","{0}\t{1}",""
"CommandLine\Strings\Program.pt-BR.resx","FindLastVersionHeader","updated","Backuptime\t\tFilename","Tempo de Backup\t\tArquivo"
"CommandLine\Strings\Program.pt-BR.resx","FolderCreatedMessage","updated","The folder {0} was created","Foi criado o diretório {0}"
"CommandLine\Strings\Program.pt-BR.resx","GenericModulesHeader","updated","Supported generic modules:","Módulos genéricos suportados:"
"CommandLine\Strings\Program.pt-BR.resx","IntegerParseError","updated","Unable to parse ""{0}"" into a number","Não foi possível converter ""{0}"" em um número"
"CommandLine\Strings\Program.pt-BR.resx","InternalOptionUsedError","updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline","A opção --{0} é reservada para uso interno e não pode ser utilizada na linha de comando"
"CommandLine\Strings\Program.pt-BR.resx","MissingURISchemeError","not-updated","The source or target parameter must be a URL, try using ""{0}{1}""",""
"CommandLine\Strings\Program.pt-BR.resx","ModifiedFilesHeader","updated","Modified files","Arquivos modificados"
"CommandLine\Strings\Program.pt-BR.resx","ModuleIsLoadedAutomatically","updated","Module is loaded atomatically, use --disable-module to prevent this","Utilize --disable-module para desativar um módulo, caso contrário ele será carregado automaticamente"
"CommandLine\Strings\Program.pt-BR.resx","ModuleIsNotLoadedAutomatically","updated","Module is not loaded atomatically, use --enable-module to load it","O módulo não foi carregado automaticamente, utilize --enable-module para carregá-lo"
"CommandLine\Strings\Program.pt-BR.resx","NewFilesHeader","updated","New files","Arquivos novos"
"CommandLine\Strings\Program.pt-BR.resx","NewOrModifiedFilesHeader","updated","New/Modified files","Arquivos novos/modificados"
"CommandLine\Strings\Program.pt-BR.resx","ParametersFileOptionLong","not-updated","This option can be used to store some or all of the options given to the commandline client. The file must be a plain text file, UTF-8 encoding is preferred. Each line in the file should be of the format --option=value. The special options --source and --target can be used to override the localpath and the remote destination uri, respectively. The options in this file take precedence over the options provided on the commandline. You cannot specify filters in both the file and on the commandline.",""
"CommandLine\Strings\Program.pt-BR.resx","ParametersFileOptionShort","not-updated","Path to a file with parameters",""
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageBackend","updated","A <backend> is identified by an url like ftp://host/ or ssh://server/.
 Using this system, Duplicati can detect if you want to backup or restore.
 The cleanup and delete commands do not delete files, unless the --force option is specified, so you may examine what files are affected, before actually deleting the files.
 The cleanup command should not be used unless a backup was interrupted and has left partial files. Duplicati will inform you if this happens.
 The delete command can be used to remove backup sets when newer backups are present.","Um <armazenamento> é identificado por uma url como ftp://host/ ou ssh://server/.
 Utilizando este sistema, Duplicati pode detectar se você quer fazer um backup ou restauração.
 Os comandos para apagar e limpar não apagam os arquivos, a não ser que a opção --force seja especificada, desta maneira é possível verificar quais arquivos são afetados, antes de efetivamente apagá-los.
 O comando cleanup não deve ser utilizado a não ser que um backup tenha sido interrompido e deixado arquivos parciais. Duplicati irá informar caso isso ocorra.
 O comando delete pode ser usado para remover backups antigos quando novos estiverem presentes."
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageBackup","updated","Backup (make a full or incremental backup):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>","Backup (realizar um backup completo ou incremental):
  Duplicati.CommandLine [completo] [opções] <pasta-origem> <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageCleanup","updated","Cleanup (remove partial and unused files):
  Duplicati.CommandLine cleanup [options] <backend>","Cleanup (remove arquivos parciais e sem uso):
  Duplicati.CommandLine cleanup [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageCreateFolders","updated","Create folder (usually done automatically):
  Duplicati.CommandLine create-folder [options] <backend>","Criar pasta (normalmente realizado automaticamente):
  Duplicati.CommandLine create-folder [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageDeleteOld","updated","Delete old backups:
  Duplicati.CommandLine delete-all-but-n-full <number of full backups to keep> [options] <backend>
  Duplicati.CommandLine delete-older-than <max allowed age> [options] <backend>","Apagar backups antigos:
  Duplicati.CommandLine delete-all-but-n-full <quantidade de backups completos a manter> [opções] <backend>
  Duplicati.CommandLine delete-older-than <idade maxima permitida> [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageFilters","updated","Filters:
 Duplicati uses filters to include and exclude files.
  Duplicati uses a ""first-touch"" filter where the first rule that matches a file determines if the file is included or excluded. Internally Duplicati uses regular expression filters, but supports filters in the form of filename globbing. The order of the commandline arguments also determine what order they are applied in. An example:
    --include=*.txt --exclude=*\Thumbs.db --include=*

  Even though the last filter includes everything, no files named ""Thumbs.db"" are included because they match the exclude rule before the include rule. Paths are evaluated in full, and as paths that are relative to folder being backed up, but including a leading slash. An example:

{0}
  If a folder is excluded, files in that folder are always excluded, even if there are filters that include files in that folder. If a folder is included with a wildcard at the end, all files are included, if the folder is included without a wildcard, files may be excluded or included with extra rules.","Filtros:
 Duplicati utiliza filtros para incluir ou excluir arquivos.
  Duplicati aplica os filtros onde o primeiro filtro a coincidir com o arquivo determina se ele será incluido ou excluido. Internamente, o Duplicati utiliza expressões regulares, entretanto ele suporte mascaras de arquivos também. A ordem dos argumentos na linha de comando também determina a ordem que os filtros serão aplicados. Exemplo:
    --include=*.txt --exclude=*\Thumbs.db --include=*

  Embora o ultimo filtro inclua todos arquivos, nenhum arquivo chamado ""Thumbs.db"" será incluido pois este padrão coincide com o filtro de exclusão antes da regra de inclusão. Os caminhos são avaliados de maneira completa, e de maneira relativa à pasta sendo copiada, incluindo a barra inicial. Exemplo:

{0}
  If a folder is excluded, files in that folder are always excluded, even if there are filters that include files in that folder. If a folder is included with a wildcard at the end, all files are included, if the folder is included without a wildcard, files may be excluded or included with extra rules."
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageFindLastVersion","updated","Find the last version of a file:
  Duplicati.CommandLine find-last-version [options] --file-to-restore=<files to find> <backend>","Encontrar a última versão de um arquivo:
  Duplicati.CommandLine find-last-version [opções] --file-to-restore=<arquivos a encontrar> <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageHeader","updated","********** Duplicati v. {0} **********

Usage:","********** Duplicati v. {0} **********

Uso:"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageListContentFiles","updated","List content files (files that can be restored):
  Duplicati.CommandLine list-current-files [options] <backend>","Listar arquivos (arquivos que podem ser restaurados):
  Duplicati.CommandLine list-current-files [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageListFiles","updated","List files:
  Duplicati.CommandLine list [options] <backend>","Listar arquivos:
  Duplicati.CommandLine list [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageListSets","updated","List backup sets:
  Duplicati.CommandLine collection-status [options] <backend>","Listar backups:
  Duplicati.CommandLine collection-status [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageListSignatureFiles","updated","List signature files (files in a single backup volume set):
  Duplicati.CommandLine list-actual-signature-files [options] <backend>","Listar arquivos de assinatura (arquivos em um único volume de backup):
  Duplicati.CommandLine list-actual-signature-files [opções] <armazenamento>"
"CommandLine\Strings\Program.pt-BR.resx","ProgramUsageListSourceFolders","not-updated","List source folders (folders backed up from):
  Duplicati.CommandLine list-source-folders [options] <backend>",""
