"CommandLine\Decrypter\Strings\Program.ru-RU.resx","ProgramUsage","updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>","Использование: Duplicati.CommandLine.Decrypter.exe <пароль> <входной файл> <файл-результат>"
"CommandLine\Strings\Program.ru-RU.resx","AddedFoldersHeader","updated","Added folders","Добавленные папки"
"CommandLine\Strings\Program.ru-RU.resx","CollectionStatusHeader","updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","Найдено {0} цепочек копирования on backend

Тип\tВремя\t\t\tТома\tРазмер"
"CommandLine\Strings\Program.ru-RU.resx","CollectionStatusLineFull","updated","Full\t{0}\t{1}\t{2}","Полный\t{0}\t{1}\t{2}"
"CommandLine\Strings\Program.ru-RU.resx","CollectionStatusLineInc","updated"," Inc\t{0}\t{1}\t{2}","Инкрементальный\t{0}\t{1}\t{2}"
"CommandLine\Strings\Program.ru-RU.resx","ControlFilesHeader","updated","Control files","Управляющие файлы"
"CommandLine\Strings\Program.ru-RU.resx","DeletedFilesHeader","updated","Deleted files","Удаленные файлы"
"CommandLine\Strings\Program.ru-RU.resx","DeletedFoldersHeader","updated","Deleted folders","Удаленный папки"
"CommandLine\Strings\Program.ru-RU.resx","DuplicatiOptionsHeader","updated","Duplicati options:","Настройки:"
"CommandLine\Strings\Program.ru-RU.resx","FailedToParseParametersFileError","not-updated","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.ru-RU.resx","FileEntryNotFound","updated","< not found >","< не найден >"
"CommandLine\Strings\Program.ru-RU.resx","FiltersCannotBeUsedWithFileError","not-updated","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.ru-RU.resx","FindLastVersionEntry","not-updated","{0}\t{1}",""
"CommandLine\Strings\Program.ru-RU.resx","FindLastVersionHeader","updated","Backuptime\t\tFilename","Когда копировался\t\tИмя файла"
"CommandLine\Strings\Program.ru-RU.resx","FolderCreatedMessage","updated","The folder {0} was created","Папка {0} создана"
"CommandLine\Strings\Program.ru-RU.resx","GenericModulesHeader","updated","Supported generic modules:","Поддерживаемые стандартные модули"
"CommandLine\Strings\Program.ru-RU.resx","IntegerParseError","updated","Unable to parse ""{0}"" into a number","Не распознать в строке ""{0}"" номер"
"CommandLine\Strings\Program.ru-RU.resx","InternalOptionUsedError","updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline","Ключ --{0} зарезервирован для внутренних задач программы, вы не должны его использовать"
"CommandLine\Strings\Program.ru-RU.resx","MissingURISchemeError","not-updated","The source or target parameter must be a URL, try using ""{0}{1}""",""
"CommandLine\Strings\Program.ru-RU.resx","ModifiedFilesHeader","updated","Modified files","Измененные файлы"
"CommandLine\Strings\Program.ru-RU.resx","ModuleIsLoadedAutomatically","updated","Module is loaded atomatically, use --disable-module to prevent this","Модуль загружен автоматически, используйте --disable-module, чтобы он не загружался"
"CommandLine\Strings\Program.ru-RU.resx","ModuleIsNotLoadedAutomatically","updated","Module is not loaded atomatically, use --enable-module to load it","Модуль не загружен автоматически, используйте --enable-module, чтобы он загружался"
"CommandLine\Strings\Program.ru-RU.resx","NewFilesHeader","updated","New files","Новые файлы"
"CommandLine\Strings\Program.ru-RU.resx","NewOrModifiedFilesHeader","updated","New/Modified files","Новые/измененные файлы"
"CommandLine\Strings\Program.ru-RU.resx","ParametersFileOptionLong","not-updated","This option can be used to store some or all of the options given to the commandline client. The file must be a plain text file, UTF-8 encoding is preferred. Each line in the file should be of the format --option=value. The special options --source and --target can be used to override the localpath and the remote destination uri, respectively. The options in this file take precedence over the options provided on the commandline. You cannot specify filters in both the file and on the commandline.",""
"CommandLine\Strings\Program.ru-RU.resx","ParametersFileOptionShort","not-updated","Path to a file with parameters",""
"CommandLine\Strings\Program.ru-RU.resx","ProgramUsageBackend","updated","A <backend> is identified by an url like ftp://host/ or ssh://server/.
 Using this system, Duplicati can detect if you want to backup or restore.
 The cleanup and delete commands do not delete files, unless the --force option is specified, so you may examine what files are affected, before actually deleting the files.
 The cleanup command should not be used unless a backup was interrupted and has left partial files. Duplicati will inform you if this happens.
 The delete command can be used to remove backup sets when newer backups are present.","<backend> определяется URL вида ftp://host/ или ssh://server/.
Таким образом прогорамма может понять, хотите ли вы сделать резервную копию или восстановить фаайлы из копии. Команды cleanup и delete не удаляют файлы, если только не укзаан ключ --force, так что вы можете посмотреть, какие файлы будут удалены, прежде чем на самом деле удалить эти файлы.
Команду cleanup не следует использовать, если только резервное копирование было прервано и остались частично переданные файлы. Программа сообщит вам, если это произойдет.
Команда delete может быть использована для удаления старых резервных копий, когда уже есть более новые резервные копии."
"CommandLine\Strings\Program.ru-RU.resx","ProgramUsageBackup","updated","Backup (make a full or incremental backup):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>","Backup (выполнить полное или инкрементальное копирование):
   Duplicati.CommandLine [full] [options] <исходный каталог> <backend>"
