"CommandLine\Decrypter\Strings\Program.tr-TR.resx","ProgramUsage","not-updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>",""
"CommandLine\Strings\Program.tr-TR.resx","AddedFoldersHeader","not-updated","Added folders",""
"CommandLine\Strings\Program.tr-TR.resx","CollectionStatusHeader","not-updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize",""
"CommandLine\Strings\Program.tr-TR.resx","CollectionStatusLineFull","not-updated","Full\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.tr-TR.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.tr-TR.resx","ControlFilesHeader","not-updated","Control files",""
"CommandLine\Strings\Program.tr-TR.resx","DeletedFilesHeader","not-updated","Deleted files",""
"CommandLine\Strings\Program.tr-TR.resx","DeletedFoldersHeader","not-updated","Deleted folders",""
"CommandLine\Strings\Program.tr-TR.resx","DuplicatiOptionsHeader","not-updated","Duplicati options:",""
"CommandLine\Strings\Program.tr-TR.resx","FailedToParseParametersFileError","not-updated","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.tr-TR.resx","FileEntryNotFound","not-updated","< not found >",""
"CommandLine\Strings\Program.tr-TR.resx","FiltersCannotBeUsedWithFileError","not-updated","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.tr-TR.resx","FindLastVersionEntry","not-updated","{0}\t{1}",""
"CommandLine\Strings\Program.tr-TR.resx","FindLastVersionHeader","not-updated","Backuptime\t\tFilename",""
"CommandLine\Strings\Program.tr-TR.resx","FolderCreatedMessage","not-updated","The folder {0} was created",""
"CommandLine\Strings\Program.tr-TR.resx","GenericModulesHeader","not-updated","Supported generic modules:",""
"CommandLine\Strings\Program.tr-TR.resx","IntegerParseError","not-updated","Unable to parse ""{0}"" into a number",""
"CommandLine\Strings\Program.tr-TR.resx","InternalOptionUsedError","not-updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline",""
"CommandLine\Strings\Program.tr-TR.resx","MissingURISchemeError","not-updated","The source or target parameter must be a URL, try using ""{0}{1}""",""
"CommandLine\Strings\Program.tr-TR.resx","ModifiedFilesHeader","not-updated","Modified files",""
"CommandLine\Strings\Program.tr-TR.resx","ModuleIsLoadedAutomatically","not-updated","Module is loaded atomatically, use --disable-module to prevent this",""
