"CommandLine\Decrypter\Strings\Program.zh-HK.resx","ProgramUsage","not-updated","Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>",""
"CommandLine\Strings\Program.zh-HK.resx","AddedFoldersHeader","not-updated","Added folders",""
"CommandLine\Strings\Program.zh-HK.resx","CollectionStatusHeader","not-updated","Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize",""
"CommandLine\Strings\Program.zh-HK.resx","CollectionStatusLineFull","not-updated","Full\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.zh-HK.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.zh-HK.resx","ControlFilesHeader","not-updated","Control files",""
"CommandLine\Strings\Program.zh-HK.resx","DeletedFilesHeader","not-updated","Deleted files",""
"CommandLine\Strings\Program.zh-HK.resx","DeletedFoldersHeader","not-updated","Deleted folders",""
"CommandLine\Strings\Program.zh-HK.resx","DuplicatiOptionsHeader","not-updated","Duplicati options:",""
"CommandLine\Strings\Program.zh-HK.resx","FailedToParseParametersFileError","not-updated","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.zh-HK.resx","FileEntryNotFound","not-updated","< not found >",""
"CommandLine\Strings\Program.zh-HK.resx","FiltersCannotBeUsedWithFileError","not-updated","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.zh-HK.resx","FindLastVersionEntry","not-updated","{0}\t{1}",""
"CommandLine\Strings\Program.zh-HK.resx","FindLastVersionHeader","not-updated","Backuptime\t\tFilename",""
"CommandLine\Strings\Program.zh-HK.resx","FolderCreatedMessage","not-updated","The folder {0} was created",""
"CommandLine\Strings\Program.zh-HK.resx","GenericModulesHeader","not-updated","Supported generic modules:",""
"CommandLine\Strings\Program.zh-HK.resx","IntegerParseError","not-updated","Unable to parse ""{0}"" into a number",""
"CommandLine\Strings\Program.zh-HK.resx","InternalOptionUsedError","not-updated","The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline",""
